,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
362078,301701080042315,3017010800423,3017010800,423,15,4770,대전광역시,서구,괴정동,301704298242.0,도산로369번길,66.0,0.0
362094,3017010900178,301701090017,3017010900,17,8,5350,대전광역시,서구,가장동,301703166046.0,유등로,469.0,0.0
362093,3017010900171,301701090017,3017010900,17,1,1117,대전광역시,서구,가장동,301703166012.0,괴정로,198.0,0.0
362092,301701080000,30170108000,3017010800,0,0,3257,대전광역시,서구,괴정동,-,-,-,-
362091,301701080042732,3017010800427,3017010800,427,32,4443,대전광역시,서구,괴정동,301703166038.0,용문로,43.0,0.0
362090,301701080042712,3017010800427,3017010800,427,12,11283,대전광역시,서구,괴정동,301703166038.0,용문로,41.0,30.0
362089,301701080042611,3017010800426,3017010800,426,11,11823,대전광역시,서구,괴정동,301704298242.0,도산로369번길,51.0,0.0
362088,30170108004251,3017010800425,3017010800,425,1,299,대전광역시,서구,괴정동,301703166038.0,용문로,41.0,17.0
362077,301701080042314,3017010800423,3017010800,423,14,9172,대전광역시,서구,괴정동,301704298242.0,도산로369번길,62.0,0.0
362087,301701080042426,3017010800424,3017010800,424,26,29006,대전광역시,서구,괴정동,301703166017.0,도솔로,378.0,0.0
362085,301701080042410,3017010800424,3017010800,424,10,4878,대전광역시,서구,괴정동,301703166038.0,용문로,35.0,13.0
362084,301701080042332,3017010800423,3017010800,423,32,14529,대전광역시,서구,괴정동,301703010024.0,계룡로,612.0,0.0
362083,301701080042325,3017010800423,3017010800,423,25,3826,대전광역시,서구,괴정동,301704298272.0,도솔로388번길,6.0,0.0
362082,301701080042322,3017010800423,3017010800,423,22,10421,대전광역시,서구,괴정동,301704298272.0,도솔로388번길,8.0,0.0
362081,301701080042320,3017010800423,3017010800,423,20,14810,대전광역시,서구,괴정동,301704298272.0,도솔로388번길,28.0,0.0
362080,301701080042319,3017010800423,3017010800,423,19,16128,대전광역시,서구,괴정동,301703166038.0,용문로,41.0,88.0
362079,301701080042317,3017010800423,3017010800,423,17,18377,대전광역시,서구,괴정동,301704298272.0,도솔로388번길,32.0,0.0
362086,301701080042414,3017010800424,3017010800,424,14,6175,대전광역시,서구,괴정동,301703166038.0,용문로,35.0,7.0
